EmployeeId,ReviewDate,PerformanceRating
1001,12/14/2015,3
1001,12/13/2016,3
1001,12/13/2017,3
1001,12/13/2018,3
1001,12/13/2019,3
1002,10/10/2018,3
1002,10/10/2019,4
1003,7/23/2015,2
1003,7/22/2016,3
1003,7/24/2017,4
1003,7/24/2018,3
1004,5/8/2015,4
1004,5/9/2016,5
1004,5/9/2017,3
1004,5/9/2018,3
1004,5/9/2019,3
1005,12/24/2014,2
1005,12/24/2015,4
1005,12/23/2016,3
1005,12/25/2017,3
1005,12/25/2018,3
1005,12/25/2019,3
1006,3/16/2016,3
1006,3/16/2017,5
1006,3/16/2018,4
1006,3/18/2019,4
1007,11/26/2012,4
1007,11/26/2013,5
1007,11/26/2014,2
1007,11/26/2015,4
1007,11/25/2016,3
1007,11/27/2017,3
1007,11/27/2018,4
1007,11/27/2019,2
1008,10/3/2014,3
1008,10/5/2015,3
1008,10/4/2016,3
1008,10/4/2017,4
1008,10/4/2018,4
1010,6/17/2016,2
1010,6/19/2017,2
1010,6/19/2018,3
1010,6/19/2019,3
1011,8/15/2016,3
1011,8/15/2017,3
1011,8/15/2018,4
1011,8/15/2019,4
1012,11/26/2015,4
1012,11/25/2016,3
1012,11/27/2017,2
1012,11/27/2018,4
1013,12/8/2014,4
1013,12/8/2015,4
1013,12/7/2016,3
1013,12/7/2017,2
1013,12/7/2018,2
1013,12/9/2019,2
1014,7/30/2018,5
1014,7/30/2019,5
1015,11/8/2019,2
1016,8/8/2017,4
1016,8/8/2018,3
1016,8/8/2019,3
1018,9/25/1992,3
1018,9/27/1993,2
1018,9/27/1994,3
1018,9/27/1995,4
1018,9/26/1996,3
1018,9/26/1997,4
1018,9/28/1998,4
1018,9/28/1999,3
1018,9/27/2000,4
1018,9/27/2001,3
1018,9/27/2002,4
1018,9/29/2003,4
1018,9/28/2004,5
1018,9/28/2005,3
1018,9/28/2006,4
1018,9/28/2007,3
1018,9/29/2008,4
1018,9/29/2009,4
1018,9/29/2010,4
1018,9/29/2011,3
1018,9/28/2012,3
1018,9/30/2013,5
1018,9/30/2014,4
1018,9/30/2015,3
1018,9/29/2016,2
1018,9/29/2017,3
1018,10/1/2018,4
1020,1/18/2016,4
1020,1/17/2017,4
1020,1/17/2018,4
1020,1/17/2019,3
1022,2/10/2003,3
1022,2/10/2004,2
1022,2/9/2005,1
1022,2/9/2006,4
1022,2/9/2007,4
1022,2/11/2008,4
1022,2/10/2009,2
1022,2/10/2010,4
1022,2/10/2011,3
1022,2/10/2012,3
1022,2/11/2013,4
1022,2/11/2014,2
1022,2/11/2015,3
1022,2/11/2016,3
1022,2/10/2017,3
1022,2/12/2018,3
1023,12/21/2018,3
1023,12/23/2019,3
1024,3/11/2013,4
1024,3/11/2014,4
1024,3/11/2015,4
1024,3/10/2016,3
1024,3/10/2017,3
1024,3/12/2018,4
1024,3/12/2019,3
1025,2/3/2017,3
1025,2/5/2018,3
1025,2/5/2019,4
1026,8/31/2011,3
1026,8/30/2012,5
1026,8/30/2013,4
1026,9/1/2014,2
1026,9/1/2015,3
1026,8/31/2016,3
1026,8/31/2017,2
1026,8/31/2018,3
1026,9/2/2019,3
1027,1/16/2013,3
1027,1/16/2014,4
1027,1/16/2015,2
1027,1/18/2016,4
1027,1/17/2017,2
1027,1/17/2018,3
1027,1/17/2019,3
1028,9/25/2017,4
1028,9/25/2018,4
1028,9/25/2019,3
1030,5/15/2014,4
1030,5/15/2015,5
1030,5/16/2016,3
1030,5/16/2017,4
1030,5/16/2018,2
1030,5/16/2019,4
1031,10/29/2018,3
1031,10/29/2019,3
1033,6/22/1992,3
1033,6/22/1993,4
1033,6/22/1994,5
1033,6/22/1995,2
1033,6/21/1996,4
1033,6/23/1997,2
1033,6/23/1998,3
1033,6/23/1999,3
1033,6/22/2000,4
1033,6/22/2001,4
1033,6/24/2002,2
1033,6/24/2003,3
1033,6/23/2004,4
1033,6/23/2005,4
1033,6/23/2006,4
1033,6/25/2007,4
1033,6/24/2008,4
1033,6/24/2009,4
1033,6/24/2010,4
1033,6/24/2011,4
1033,6/25/2012,2
1033,6/25/2013,4
1033,6/25/2014,4
1033,6/25/2015,2
1033,6/24/2016,4
1033,6/26/2017,3
1033,6/26/2018,3
1034,1/28/2019,3
1035,7/27/2015,1
1035,7/26/2016,2
1035,7/26/2017,3
1035,7/26/2018,4
1035,7/26/2019,2
1036,4/24/2017,3
1036,4/24/2018,4
1036,4/24/2019,2
1037,1/22/2015,2
1037,1/22/2016,4
1037,1/23/2017,4
1037,1/23/2018,4
1037,1/23/2019,3
1038,8/7/2019,4
1039,9/1/2010,3
1039,9/1/2011,2
1039,8/31/2012,3
1039,9/2/2013,5
1039,9/2/2014,3
1039,9/2/2015,4
1039,9/1/2016,2
1039,9/1/2017,1
1039,9/3/2018,4
1040,12/29/2014,5
1040,12/29/2015,4
1040,12/28/2016,5
1040,12/28/2017,4
1040,12/28/2018,3
1040,12/30/2019,3
1041,11/1/2013,2
1041,11/3/2014,4
1041,11/3/2015,3
1041,11/2/2016,2
1041,11/2/2017,3
1041,11/2/2018,3
1041,11/4/2019,2
1042,2/7/2019,4
1043,6/4/2018,4
1043,6/4/2019,3
1044,11/17/2010,3
1044,11/17/2011,2
1044,11/16/2012,3
1044,11/18/2013,3
1044,11/18/2014,4
1044,11/18/2015,4
1044,11/17/2016,3
1044,11/17/2017,2
1044,11/19/2018,4
1045,5/30/2011,2
1045,5/29/2012,4
1045,5/29/2013,4
1045,5/29/2014,3
1045,5/29/2015,4
1045,5/30/2016,4
1045,5/30/2017,3
1045,5/30/2018,4
1045,5/30/2019,3
1047,4/23/2019,3
1048,10/16/2017,3
1048,10/16/2018,3
1048,10/16/2019,4
1049,12/4/2017,4
1049,12/4/2018,4
1050,1/3/2017,2
1050,1/3/2018,3
1050,1/3/2019,4
1051,7/17/2008,2
1051,7/17/2009,3
1051,7/19/2010,3
1051,7/19/2011,4
1051,7/18/2012,3
1051,7/18/2013,4
1051,7/18/2014,4
1051,7/20/2015,4
1051,7/19/2016,4
1051,7/19/2017,4
1051,7/19/2018,4
1051,7/19/2019,4
1053,2/3/2005,3
1053,2/3/2006,3
1053,2/5/2007,4
1053,2/5/2008,2
1053,2/4/2009,4
1053,2/4/2010,2
1053,2/4/2011,2
1053,2/6/2012,2
1053,2/5/2013,3
1053,2/5/2014,4
1053,2/5/2015,3
1053,2/5/2016,5
1053,2/6/2017,3
1053,2/6/2018,3
1053,2/6/2019,4
1054,8/29/2017,3
1054,8/29/2018,3
1054,8/29/2019,4
1055,10/31/2016,3
1055,10/31/2017,3
1055,10/31/2018,2
1055,10/31/2019,3
1056,9/30/2019,3
1057,1/30/2017,3
1057,1/30/2018,2
1057,1/30/2019,4
1058,9/18/2015,4
1058,9/19/2016,4
1058,9/19/2017,4
1058,9/19/2018,4
1058,9/19/2019,3
1059,4/12/2012,4
1059,4/12/2013,4
1059,4/14/2014,3
1059,4/14/2015,3
1059,4/13/2016,3
1059,4/13/2017,1
1059,4/13/2018,3
1059,4/15/2019,4
1060,2/25/2013,4
1060,2/25/2014,3
1060,2/25/2015,2
1060,2/25/2016,3
1060,2/24/2017,3
1060,2/26/2018,3
1060,2/26/2019,4
1061,10/27/2014,4
